# units: z_A in Angstrom; densities in e/A^3; diff = reproduction - DFT
z_A	RHOB_DFT_e_per_A3	RHOB_repro_e_per_A3	RHOB_diff_e_per_A3	RHOION_DFT_e_per_A3	RHOION_repro_e_per_A3	RHOION_diff_e_per_A3
10.390625000000	-4.7443332078009166e-06	-4.7443367105950271e-06	-3.5027941105384569e-12	-2.1580303860924344e-20	7.7502100285834298e-21	2.9330513889507774e-20
10.481770833333	-3.1522462165698630e-06	-3.1522469723090575e-06	-7.5573919452166208e-13	-7.1430731000011469e-20	-3.8862331185437228e-20	3.2568399814574241e-20
10.572916666667	-1.7045033321832418e-06	-1.7045026089251907e-06	7.2325805110417987e-13	-1.4724340292617361e-20	1.9929005731743637e-20	3.4653346024360998e-20
10.664062500000	-4.6195387917407837e-07	-4.6195304987620638e-07	8.2929787198985229e-13	-7.0074923649392124e-20	-3.1137368552349836e-20	3.8937555097042288e-20
10.755208333333	1.2369604808196928e-06	1.2369608891197208e-06	4.0830002796147320e-13	-2.9666652234459944e-20	9.3905503439035002e-21	3.9057202578363443e-20
10.846354166667	5.6597947298249129e-06	5.6597948959094146e-06	1.6608450166777323e-13	1.9972836987338356e-21	4.6250267002192604e-20	4.4252983303458765e-20
10.937500000000	1.7532551769623990e-05	1.7532553476321575e-05	1.7066975850426550e-12	-4.0730490374575898e-20	5.8627265865725179e-21	4.6593216961148415e-20
11.028645833333	4.2997669477304027e-05	4.2997679890306477e-05	1.0413002450864080e-11	-5.3747780957838850e-20	-4.6200512604204461e-21	4.9127729697418407e-20
11.119791666667	8.4162566890275849e-05	8.4162601648797147e-05	3.4758521297198301e-11	-2.4402163054588488e-20	2.8029495608238648e-20	5.2431658662827136e-20
11.210937500000	1.3194158936654889e-04	1.3194165982136500e-04	7.0454816107753601e-11	-9.0659621271396458e-21	4.9012820730109672e-20	5.8078782857249311e-20
11.302083333333	1.6712164313226918e-04	1.6712172762439555e-04	8.4492126375913454e-11	2.5291819079322621e-20	8.5219214754940979e-20	5.9927395675618358e-20
11.393229166667	1.7347661332756540e-04	1.7347666906704617e-04	5.5739480766441377e-11	6.8030847123503616e-20	1.3193207919731611e-19	6.3901232073812490e-20
11.484375000000	1.4960579700537503e-04	1.4960583788375733e-04	4.0878382303504227e-11	-1.0974991000479757e-20	5.6540542713209141e-20	6.7515533713688901e-20
11.575520833333	1.0747104574943716e-04	1.0747115844268020e-04	1.1269324304296908e-10	1.6499506142247363e-20	8.8604290774555826e-20	7.2104784632308466e-20
11.666666666667	6.3049801114237325e-05	6.3050016360703876e-05	2.1524646655172747e-10	-6.0451205495809625e-20	1.4641416295676445e-20	7.5092621791486070e-20
11.757812500000	2.7944330333512618e-05	2.7944535595000238e-05	2.0526148761986223e-10	-1.0599484238500138e-20	6.8165302461838243e-20	7.8764786700338382e-20
11.848958333333	5.1479285717046491e-06	5.1479975133521576e-06	6.8941647508509744e-11	-6.3813950377308959e-20	1.9337876096166252e-20	8.3151826473475208e-20
11.940104166667	-8.7233271494339478e-06	-8.7233607812523253e-06	-3.3631818377528508e-11	-2.3695246975049075e-20	6.3474173489680522e-20	8.7169420464729597e-20
12.031250000000	-1.7569611036137596e-05	-1.7569604877534590e-05	6.1586030058232571e-12	-6.4091020696460168e-20	2.5866956229908835e-20	8.9957976926368997e-20
